"ID","Pair","Long","Lat","Elevation","Race","GBS","Elevation_class","id","general_identifier","bank_number","collnumb","colldate","Sample.ID.of.DNA.from.single.plants.used.in.GWAS","CIMMYT_ID","SeeD_Elevation","Elevation_flag"
"CIMMYTMA-000449","Mex_20",-100.726374,28.26979,356,"TUXPEN",TRUE,"Low",189,5474,"CIMMYTMA-BANK-000449","COAH64","1952-02-03","SEEDGWAS3809","CIMMYTMA 449",356,FALSE
"CIMMYTMA-000547","Mex_30",-99.632358,21.445085,562,"TUXPEN",FALSE,"Low",238,5778,"CIMMYTMA-BANK-000547","QUER50","","","CIMMYTMA 547",562,FALSE
"CIMMYTMA-000554","Mex_30",-101.25,21.01666667,2064,"CELAYA",TRUE,"High",240,5782,"CIMMYTMA-BANK-000554","GUAN4","1943-01-01","SEEDGWAS2678","CIMMYTMA 554",2064,FALSE
"CIMMYTMA-000645","Mex_11",-104.563018,29.566727,798,"CELAYA",FALSE,"Low",8489,243742,"CIMMYTMA-BANK-000645","CHIH15","1943-01-01","","CIMMYTMA 645",798,FALSE
"CIMMYTMA-000686","Mex_7",-95.436809,18.589859,30,"TUXPEN",FALSE,"Low",8511,243764,"CIMMYTMA-BANK-000686","VERA126","1952-01-01","","CIMMYTMA 686",30,FALSE
"CIMMYTMA-000861","Mex_29",-107.460246,24.824405,46,"CHAPAL",FALSE,"Low",8640,243893,"CIMMYTMA-BANK-000861","SINA2","1943-01-01","","CIMMYTMA 861",46,FALSE
"CIMMYTMA-001535","Mex_13",-99.8,20.7,2039,"CONNOR",FALSE,"High",9107,244360,"CIMMYTMA-BANK-001535","QUER56","","","CIMMYTMA 1535",2039,FALSE
"CIMMYTMA-001968","Mex_27",-98.68333333,18.88333333,2261,"PEPITI",FALSE,"High",9421,244674,"CIMMYTMA-BANK-001968","MORE37","1967-01-01","","CIMMYTMA 1968",2261,FALSE
"CIMMYTMA-002335","Mex_3",-97.382222,20.43027778,109,"TUXPEN",FALSE,"Low",768,9335,"CIMMYTMA-BANK-002335","VERA77","1948-01-01","","CIMMYTMA 2335",109,FALSE
"CIMMYTMA-003229","Mex_25",-96.87,20.32,5,"TUXPEN",TRUE,"Low",971,11474,"CIMMYTMA-BANK-003229","VERA142","1959-07-02","SEEDGWAS156","CIMMYTMA 3229",5,FALSE
"CIMMYTMA-003266","Mex_22",-97.75,21.1,88,"TEPECI",FALSE,"Low",10357,245610,"CIMMYTMA-BANK-003266","VERA201","1959-07-08","","CIMMYTMA 3266",88,FALSE
"CIMMYTMA-005339","Mex_27",-102.8,19.06,324,"VANDEN",FALSE,"Low",11832,247085,"CIMMYTMA-BANK-005339","MICH180","1952-02-05","","CIMMYTMA 5339",324,FALSE
"CIMMYTMA-005460","Mex_1",-100.65,18.35,245,"TUXPEN",TRUE,"Low",1621,16739,"CIMMYTMA-BANK-005460","GUER51","1947-01-01","SEEDGWAS3869","CIMMYTMA 5460",245,FALSE
"CIMMYTMA-005606","Mex_15",-102.2666667,19.65,2287,"CACAHU",FALSE,"High",11999,247252,"CIMMYTMA-BANK-005606","MICH355","1970-01-16","","CIMMYTMA 5606",2287,FALSE
"CIMMYTMA-005613","Mex_25",-101.582675,19.499015,2280,"MUSHIT",FALSE,"High",12006,247259,"CIMMYTMA-BANK-005613","MICH371","1970-01-16","","CIMMYTMA 5613",2280,FALSE
"CIMMYTMA-006081","Mex_14",-97.867153,17.190837,2338,"CONICO",TRUE,"High",1807,19758,"CIMMYTMA-BANK-006081","OAXA350","1970-02-12","SEEDGWAS2777","CIMMYTMA 6081",2338,FALSE
"CIMMYTMA-007015","Mex_4",-105.3333333,20.31666667,655,"TUXPEN",TRUE,"Low",2011,20644,"CIMMYTMA-BANK-007015","JALI276","1968-11-14","SEEDGWAS3232","CIMMYTMA 7015",655,FALSE
"CIMMYTMA-007026","Mex_13",-105.1666667,21.2,8,"TUXPEN",FALSE,"Low",13069,248322,"CIMMYTMA-BANK-007026","NAYA149","1968-01-01","","CIMMYTMA 7026",8,FALSE
"CIMMYTMA-007076","Mex_18",-104.8833333,21.71666667,177,"BOFO",FALSE,"Low",13097,248350,"CIMMYTMA-BANK-007076","NAYA222","1968-01-01","","CIMMYTMA 7076",177,FALSE
"CIMMYTMA-007294","Mex_28",-109.395459,28.975149,454,"TABPER",FALSE,"Low",13240,248493,"CIMMYTMA-BANK-007294","SONO115","1968-12-14","","CIMMYTMA 7294",454,FALSE
"CIMMYTMA-007344","Mex_16",-110.367266,29.43544,390,"ONAVEN",FALSE,"Low",13276,248529,"CIMMYTMA-BANK-007344","SONO169","1968-01-01","","CIMMYTMA 7344",390,FALSE
"CIMMYTMA-007584","Mex_8",-98.43333333,19.28333333,2261,"CONICO",FALSE,"High",13478,248731,"CIMMYTMA-BANK-007584","PUEB384","1967-01-01","","CIMMYTMA 7584",2261,FALSE
"CIMMYTMA-007937","Mex_28",-108.25,29.65,2141,"GORDO",FALSE,"High",13760,249013,"CIMMYTMA-BANK-007937","CHIH140","1968-01-01","","CIMMYTMA 7937",2141,FALSE
"CIMMYTMA-008025","SA_17",-65.35,-23.2,2973,"",FALSE,"High",13831,249084,"CIMMYTMA-BANK-008025","ARGE521","1952-07-01","","CIMMYTMA 8025",2973,FALSE
"CIMMYTMA-008102","Mex_4",-97.24,19.71,2220,"PALOME",FALSE,"High",13889,249142,"CIMMYTMA-BANK-008102","VERA311","1970-01-21","","CIMMYTMA 8102",2312,FALSE
"CIMMYTMA-008156","SA_12",-79.832942,0.842247,17,"MCUBAN",FALSE,"Low",13938,249191,"CIMMYTMA-BANK-008156","ECUA350","1954-01-01","","CIMMYTMA 8156",17,FALSE
"CIMMYTMA-008360","SA_5",-76.189678,-10.135505,2301,"",FALSE,"High",14129,249382,"CIMMYTMA-BANK-008360","PERU508","1954-01-01","","CIMMYTMA 8360",2301,FALSE
"CIMMYTMA-008361","SA_13",-74.25,-12.93333333,2655,"",FALSE,"High",14130,249383,"CIMMYTMA-BANK-008361","PERU511","1954-01-01","","CIMMYTMA 8361",2655,FALSE
"CIMMYTMA-008367","SA_13",-76.950627,-12.130747,305,"",FALSE,"Low",14136,249389,"CIMMYTMA-BANK-008367","PERU611","1954-01-01","","CIMMYTMA 8367",305,FALSE
"CIMMYTMA-008962","SA_5",-78.417459,-9.241315,49,"PERLA",FALSE,"Low",14655,249908,"CIMMYTMA-BANK-008962","PERU595","1954-01-01","","CIMMYTMA 8962",49,FALSE
"CIMMYTMA-008993","SA_24",-78.732381,-8.597077,14,"COLORA",FALSE,"Low",14686,249939,"CIMMYTMA-BANK-008993","PERU637","1954-01-01","","CIMMYTMA 8993",14,FALSE
"CIMMYTMA-009022","SA_2",-73.094775,-12.623998,751,"PIRICI",FALSE,"Low",14712,249965,"CIMMYTMA-BANK-009022","PERU1101","1953-06-05","","CIMMYTMA 9022",751,FALSE
"CIMMYTMA-009025","SA_21",-70.25,-12,234,"ENANO",FALSE,"Low",14715,249968,"CIMMYTMA-BANK-009025","PERU1124","1954-01-01","","CIMMYTMA 9025",376,FALSE
"CIMMYTMA-010248","SA_3",-79.747472,-2.761385,2,"",FALSE,"Low",15729,250982,"CIMMYTMA-BANK-010248","ECUA","1968-05-05","","CIMMYTMA 10248",2,FALSE
"CIMMYTMA-011854","SA_16",-57.827936,-18.965107,120,"POJOSO",FALSE,"Low",16641,251894,"CIMMYTMA-BANK-015275","BOLI802","1954-08-31","","CIMMYTMA 11854",120,FALSE
"CIMMYTMA-011857","SA_15",-59.590785,-18.345503,613,"",FALSE,"Low",16644,251897,"CIMMYTMA-BANK-015276","BOLI809","1954-08-29","","CIMMYTMA 11857",613,FALSE
"CIMMYTMA-012085","SA_6",-77.240432,-9.385108,3524,"",FALSE,"High",16727,251980,"CIMMYTMA-BANK-024962","ANC.526","1968-07-17","","CIMMYTMA 12085",3524,FALSE
"CIMMYTMA-012231","SA_7",-72.89971,-13.650254,2154,"CHUNCH",FALSE,"High",16793,252046,"CIMMYTMA-BANK-021327","APUC.169","1968-06-20","","CIMMYTMA 12231",2154,FALSE
"CIMMYTMA-012290","SA_18",-73.720696,-13.52122,2813,"",FALSE,"High",30844,267450,"CIMMYTMA-BANK-027862","CUZ.196","1968-06-26","","CIMMYTMA 12290",2813,FALSE
"CIMMYTMA-012291","SA_2",-74.86529,-12.634544,3263,"",FALSE,"High",16807,252060,"CIMMYTMA-BANK-024970","HVCA.15","1953-05-01","","CIMMYTMA 12291",3263,FALSE
"CIMMYTMA-012342","SA_8",-78.041914,-7.804269,3217,"SHAJAT",FALSE,"High",16816,252069,"CIMMYTMA-BANK-021334","LIB.114","1968-07-25","","CIMMYTMA 12342",3217,FALSE
"CIMMYTMA-012440","SA_28",-79.710107,-4.635925,2641,"",FALSE,"High",16832,252085,"CIMMYTMA-BANK-021340","PIUR106","1962-08-01","","CIMMYTMA 12440",2641,FALSE
"CIMMYTMA-012541","SA_24",-77.723683,-9.176536,2453,"",FALSE,"High",16870,252123,"CIMMYTMA-BANK-015441","PERU675","1953-06-01","","CIMMYTMA 12541",2453,FALSE
"CIMMYTMA-013311","SA_3",-79.237167,-3.620286,2497,"MEZCLA",FALSE,"High",17221,252474,"CIMMYTMA-BANK-014627","ECUAX14210","1968-08-21","","CIMMYTMA 13311",2497,FALSE
"CIMMYTMA-013374","Mex_29",-104.120767,24.470342,2030,"CONNOR",FALSE,"High",17264,252517,"CIMMYTMA-BANK-011261","DURA33","1961-01-01","","CIMMYTMA 13374",2030,FALSE
"CIMMYTMA-013771","Mex_22",-101.2166667,21.48333333,2091,"",FALSE,"High",17632,252885,"CIMMYTMA-BANK-011612","GUAN333","1978-01-05","","CIMMYTMA 13771",2091,FALSE
"CIMMYTMA-013920","Mex_17",-97.21666667,17.45,2083,"",FALSE,"High",17759,253012,"CIMMYTMA-BANK-011761","OAXA69","1947-01-01","","CIMMYTMA 13920",2083,FALSE
"CIMMYTMA-014017","Mex_5",-101.1166667,23.13333333,2043,"",FALSE,"High",17842,253095,"CIMMYTMA-BANK-011858","SNLP176","","","CIMMYTMA 14017",2043,FALSE
"CIMMYTMA-014242","SA_15",-64.7,-19.13333333,2400,"MOROCH",FALSE,"High",18015,253268,"CIMMYTMA-BANK-012082","BOZM0119","1977-09-16","","CIMMYTMA 14242",2532,FALSE
"CIMMYTMA-014283","SA_19",-63.66666667,-21.91666667,640,"CUBAAM",FALSE,"Low",18054,253307,"CIMMYTMA-BANK-012123","BOZM0244","1977-10-17","","CIMMYTMA 14283",767,FALSE
"CIMMYTMA-014287","SA_17",-64.40514,-22.537684,559,"CUBAAM",FALSE,"Low",18057,253310,"CIMMYTMA-BANK-012127","BOZM0258","1977-10-20","","CIMMYTMA 14287",559,FALSE
"CIMMYTMA-014314","SA_30",-63.191165,-21.437723,600,"CUBAAM",FALSE,"Low",18081,253334,"CIMMYTMA-BANK-012154","BOZM0303","1977-10-17","","CIMMYTMA 14314",338,FALSE
"CIMMYTMA-014359","SA_19",-65.23333333,-21.36666667,2900,"AYZUMA",FALSE,"High",18124,253377,"CIMMYTMA-BANK-012199","BOZM0697","1978-04-08","","CIMMYTMA 14359",2433,FALSE
"CIMMYTMA-014383","SA_25",-63.292271,-20.680467,755,"CUBAAM",TRUE,"Low",2860,24668,"CIMMYTMA-BANK-012223","BOZM1348","","SEEDGWAS647","CIMMYTMA 14383",755,FALSE
"CIMMYTMA-014466","SA_25",-69.23333333,-20.08333333,2609,"CACHCH",FALSE,"High",18209,253462,"CIMMYTMA-BANK-012317","CHZM01032","1982-04-12","","CIMMYTMA 14466",2609,FALSE
"CIMMYTMA-014470","SA_10",-70.089649,-20.258208,513,"HARTAR",FALSE,"Low",18213,253466,"CIMMYTMA-BANK-012321","CHZM01038","1982-04-12","","CIMMYTMA 14470",513,FALSE
"CIMMYTMA-014497","SA_10",-69.419454,-19.314057,2430,"HARTAR",FALSE,"High",18240,253493,"CIMMYTMA-BANK-012348","CHZM01070","1982-04-15","","CIMMYTMA 14497",2430,FALSE
"CIMMYTMA-014578","SA_14",-76.471549,-8.444628,580,"",FALSE,"Low",18320,253573,"CIMMYTMA-BANK-012429","SNMART111","1980-05-01","","CIMMYTMA 14578",562,FALSE
"CIMMYTMA-014588","SA_6",-75.513495,-9.028934,306,"",FALSE,"Low",18330,253583,"CIMMYTMA-BANK-012439","UCAYAL9","1980-07-01","","CIMMYTMA 14588",306,FALSE
"CIMMYTMA-014996","SA_30",-64.76666667,-20.78333333,3100,"MOROCH",FALSE,"High",18700,253953,"CIMMYTMA-BANK-013099","BOZM0696","1977-10-08","","CIMMYTMA 14996",2742,FALSE
"CIMMYTMA-014998","SA_11",-60.657169,-16.777628,300,"CUBAAM",FALSE,"Low",18702,253955,"CIMMYTMA-BANK-013101","BOZM0708","1977-11-09","","CIMMYTMA 14998",396,FALSE
"CIMMYTMA-015009","SA_16",-65.08333333,-18.18333333,2520,"AYZUMA",FALSE,"High",18712,253965,"CIMMYTMA-BANK-013112","BOZM0748","1977-12-20","","CIMMYTMA 15009",2471,FALSE
"CIMMYTMA-015032","SA_1",-65.83333333,-17.55,2725,"",FALSE,"High",18735,253988,"CIMMYTMA-BANK-013135","BOZM0881","","","CIMMYTMA 15032",2725,FALSE
"CIMMYTMA-015086","SA_18",-67.36666667,-14.31666667,189,"",FALSE,"Low",18788,254041,"CIMMYTMA-BANK-013189","BOZM1162","","","CIMMYTMA 15086",189,FALSE
"CIMMYTMA-016261","Mex_6",-101.262247,17.560971,52,"",FALSE,"Low",19812,255065,"CIMMYTMA-BANK-014180","GUER127","1947-01-01","","CIMMYTMA 16261",52,FALSE
"CIMMYTMA-016642","Mex_19",-101.5833333,21.88333333,2213,"CELAYA",FALSE,"High",20134,255387,"CIMMYTMA-BANK-014573","JALI348","1974-04-07","","CIMMYTMA 16642",2213,FALSE
"CIMMYTMA-016810","SA_27",-75.713591,-14.17888,381,"",FALSE,"Low",20280,255533,"CIMMYTMA-BANK-015108","ICA8","1977-12-01","","CIMMYTMA 16810",381,FALSE
"CIMMYTMA-016832","SA_9",-76.46666667,-12.73333333,260,"",FALSE,"Low",20302,255555,"CIMMYTMA-BANK-015130","LIM.76","1978-04-04","","CIMMYTMA 16832",260,FALSE
"CIMMYTMA-016874","SA_1",-63.308388,-17.898168,516,"",FALSE,"Low",20341,255594,"CIMMYTMA-BANK-014813","BOLI434","1953-05-24","","CIMMYTMA 16874",516,FALSE
"CIMMYTMA-016977","SA_12",-78.038449,0.555469,2484,"",FALSE,"High",20439,255692,"CIMMYTMA-BANK-014916","ECUA631","1953-08-01","","CIMMYTMA 16977",2484,FALSE
"CIMMYTMA-017281","SA_7",-65.195133,-14.389555,149,"",FALSE,"Low",20639,255892,"CIMMYTMA-BANK-022731","BOLI1060","1954-08-12","","CIMMYTMA 17281",149,FALSE
"CIMMYTMA-017379","SA_26",-80.44021,-1.066298,36,"",FALSE,"Low",20678,255931,"CIMMYTMA-BANK-022738","ECUA652","1953-08-13","","CIMMYTMA 17379",36,FALSE
"CIMMYTMA-017793","Mex_17",-89.13333333,17.08333333,97,"",FALSE,"Low",20755,256008,"CIMMYTMA-BANK-015533","BELI9","","","CIMMYTMA 17793",97,FALSE
"CIMMYTMA-017852","Mex_15",-99.36666667,18.71666667,952,"TUXPEN",FALSE,"Low",20799,256052,"CIMMYTMA-BANK-015592","MORE128","","","CIMMYTMA 17852",952,FALSE
"CIMMYTMA-018202","SA_14",-77.77292,-8.563063,3412,"",FALSE,"High",21067,256320,"CIMMYTMA-BANK-015346","PERU923","1953-06-01","","CIMMYTMA 18202",3412,FALSE
"CIMMYTMA-018242","SA_9",-72.2085,-13.420293,3326,"PISCCO",FALSE,"High",21105,256358,"CIMMYTMA-BANK-015408","CUZ.351","1976-06-01","","CIMMYTMA 18242",3326,FALSE
"CIMMYTMA-018244","SA_22",-76.557515,-9.408282,3135,"",FALSE,"High",21107,256360,"CIMMYTMA-BANK-015410","HCO.140","","","CIMMYTMA 18244",3135,FALSE
"CIMMYTMA-018374","Mex_26",-99.52,19.97,2418,"",FALSE,"High",21204,256457,"CIMMYTMA-BANK-022868","MEXI193","1954-01-01","","CIMMYTMA 18374",2418,FALSE
"CIMMYTMA-018635","SA_11",-71.47741,-16.471349,2495,"",FALSE,"High",21428,256681,"CIMMYTMA-BANK-015490","AREQ.164","1978-06-01","","CIMMYTMA 18635",2495,FALSE
"CIMMYTMA-018676","SA_4",-68.15,-16.5,3929,"",FALSE,"High",21469,256722,"CIMMYTMA-BANK-015269","BOLI683","1954-05-25","","CIMMYTMA 18676",3929,FALSE
"CIMMYTMA-018888","Mex_5",-105.46224,22.417143,11,"TABLON",FALSE,"Low",21607,256860,"CIMMYTMA-BANK-016167","NAYA70","1953-02-10","","CIMMYTMA 18888",11,FALSE
"CIMMYTMA-019483","Mex_12",-103.478062,22.902593,2019,"CONNOR",FALSE,"High",22098,257351,"CIMMYTMA-BANK-017218","ZACA134","1963-01-01","","CIMMYTMA 19483",2019,FALSE
"CIMMYTMA-019738","SA_23",-74.92,5.32,840,"",FALSE,"Low",22297,257550,"CIMMYTMA-BANK-022755","CALD369","1955-09-13","","CIMMYTMA 19738",840,FALSE
"CIMMYTMA-020218","Mex_6",-96.26666667,16.9,2164,"BOLITA",FALSE,"High",22659,257912,"CIMMYTMA-BANK-017941","OAXA724","1997-03-10","","CIMMYTMA 20218",2164,FALSE
"CIMMYTMA-020752","Mex_9",-98.870068,21.062344,436,"CONICO",FALSE,"Low",23134,258387,"CIMMYTMA-BANK-018609","HIDA184","1972-01-01","","CIMMYTMA 20752",436,FALSE
"CIMMYTMA-021008","Mex_11",-107.755055,29.354404,2145,"HEMBRA",FALSE,"High",23354,258607,"CIMMYTMA-BANK-017695","CHIH369","1998-03-18","","CIMMYTMA 21008",2145,FALSE
"CIMMYTMA-021113","Mex_16",-106.6333333,28.53333333,2141,"CELAYA",FALSE,"High",23459,258712,"CIMMYTMA-BANK-017800","CHIH474","1998-03-25","","CIMMYTMA 21113",2141,FALSE
"CIMMYTMA-021154","Mex_20",-107.5,28.55,2046,"CONNOR",FALSE,"High",23500,258753,"CIMMYTMA-BANK-017841","CHIH515","1998-04-01","","CIMMYTMA 21154",2046,FALSE
"CIMMYTMA-021313","Mex_18",-102.1666667,21.01666667,2055,"CELAYA",TRUE,"High",3638,27435,"CIMMYTMA-BANK-019207","JALI576","1978-02-14","SEEDGWAS4759","CIMMYTMA 21313",2055,FALSE
"CIMMYTMA-021332","Mex_23",-102.6666667,20.81666667,2017,"CELAYA",FALSE,"High",23654,258907,"CIMMYTMA-BANK-019226","JALI637","1978-01-18","","CIMMYTMA 21332",2017,FALSE
"CIMMYTMA-021797","SA_26",-78.457937,-0.148041,2890,"MISHCA",FALSE,"High",24040,259293,"CIMMYTMA-BANK-019062","ECUA8833","","","CIMMYTMA 21797",2890,FALSE
"CIMMYTMA-022843","SA_23",-73.101212,5.399671,2150,"SABANE",FALSE,"High",24978,260231,"CIMMYTMA-BANK-021579","BOYA371","1951-11-07","","CIMMYTMA 22843",2413,FALSE
"CIMMYTMA-023180","Mex_8",-103.731987,19.33205,720,"",FALSE,"Low",25272,260525,"CIMMYTMA-BANK-019315","COLI26","1953-01-01","","CIMMYTMA 23180",720,FALSE
"CIMMYTMA-023628","Mex_12",-100,21.93333333,994,"CONICO",TRUE,"Low",3860,28358,"CIMMYTMA-BANK-020611","SNLP143","","SEEDGWAS2628","CIMMYTMA 23628",994,FALSE
"CIMMYTMA-023713","Mex_2",-104.35,19.76666667,907,"",FALSE,"Low",25693,260946,"CIMMYTMA-BANK-020696","JALI386","","","CIMMYTMA 23713",907,FALSE
"CIMMYTMA-023971","Mex_19",-104.469957,22.274119,648,"BOFO",FALSE,"Low",25890,261143,"CIMMYTMA-BANK-022572","NAYA223","1968-01-01","","CIMMYTMA 23971",648,FALSE
"CIMMYTMA-024483","SA_29",-65.76493,-23.534009,3488,"PISING",FALSE,"High",26132,261385,"CIMMYTMA-BANK-020819","ARZM09063","1977-06-01","","CIMMYTMA 24483",3488,FALSE
"CIMMYTMA-024894","SA_20",-78.65,-6.55,2391,"",FALSE,"High",26476,261729,"CIMMYTMA-BANK-021489","CAJ.138","1973-08-01","","CIMMYTMA 24894",2391,FALSE
"CIMMYTMA-024902","SA_27",-71.744682,-13.950973,3061,"",FALSE,"High",26484,261737,"CIMMYTMA-BANK-021497","CUZ.290","1975-07-01","","CIMMYTMA 24902",3061,FALSE
"CIMMYTMA-024925","SA_21",-75.321984,-11.904015,3315,"SNJERO",FALSE,"High",26507,261760,"CIMMYTMA-BANK-021520","JUN.160","1976-05-01","","CIMMYTMA 24925",3315,FALSE
"CIMMYTMA-025027","Mex_10",-95.001338,16.478858,28,"ZAPCHI",FALSE,"Low",26589,261842,"CIMMYTMA-BANK-022099","OAXA520","1976-07-02","","CIMMYTMA 25027",28,FALSE
"CIMMYTMA-025041","Mex_14",-93.71666667,16.7,547,"OLOTIL",TRUE,"Low",4033,28883,"CIMMYTMA-BANK-022113","CHIS533","1972-01-01","SEEDGWAS1031","CIMMYTMA 25041",547,FALSE
"CIMMYTMA-025151","Mex_24",-100.139433,20.175815,2674,"",FALSE,"High",26691,261944,"CIMMYTMA-BANK-022223","QUER111","1978-05-14","","CIMMYTMA 25151",2674,FALSE
"CIMMYTMA-025289","Mex_24",-104.4,20.8,800,"",TRUE,"Low",4091,29051,"CIMMYTMA-BANK-022335","NAYA312","1975-01-01","SEEDGWAS3345","CIMMYTMA 25289",800,FALSE
"CIMMYTMA-025845","Mex_23",-98.38333333,21.51666667,42,"TUXPEN",FALSE,"Low",27181,262434,"CIMMYTMA-BANK-023032","VERA272","","","CIMMYTMA 25845",42,FALSE
"CIMMYTMA-026029","SA_20",-75.298185,-7.221746,137,"",FALSE,"Low",27342,262595,"CIMMYTMA-BANK-023177","LOR.16","1979-12-01","","CIMMYTMA 26029",137,FALSE
"CIMMYTMA-026034","SA_22",-74.9,-10.33333333,252,"",FALSE,"Low",27347,262600,"CIMMYTMA-BANK-023182","PAS.18","1980-07-01","","CIMMYTMA 26034",252,FALSE
"CIMMYTMA-026035","SA_28",-80.711375,-4.872712,49,"",FALSE,"Low",27348,262601,"CIMMYTMA-BANK-023221","PIUR152","1978-12-01","","CIMMYTMA 26035",49,FALSE
"CIMMYTMA-026062","SA_8",-76.692725,-7.174336,269,"",FALSE,"Low",27375,262628,"CIMMYTMA-BANK-023209","SNMART124","1980-06-01","","CIMMYTMA 26062",269,FALSE
"CIMMYTMA-026714","SA_29",-61.48,-23.78,175,"PERLIT",TRUE,"Low",4254,29597,"CIMMYTMA-BANK-024442","ARZM07041","","SEEDGWAS541","CIMMYTMA 26714",175,FALSE
"CIMMYTMA-026945","Mex_7",-97.91666667,19.31666667,2492,"",FALSE,"High",28182,263435,"CIMMYTMA-BANK-024077","TLAX525","1981-01-01","","CIMMYTMA 26945",2492,FALSE
"CIMMYTMA-027102","Mex_9",-102.13202,21.921424,2042,"CONNOR",FALSE,"High",28317,263570,"CIMMYTMA-BANK-024555","AGUC67","1975-01-01","","CIMMYTMA 27102",2042,FALSE
"CIMMYTMA-027432","Mex_10",-92.63,16.75,2131,"",TRUE,"High",4332,29770,"CIMMYTMA-BANK-024684","CHIS846","2004-05-25","SEEDGWAS4874","CIMMYTMA 27432",2131,FALSE
"CIMMYTMA-027739","Mex_21",-91.920436,15.153303,3201,"",FALSE,"High",28840,264093,"CIMMYTMA-BANK-025318","GUAT1312","","","CIMMYTMA 27739",3201,FALSE
"CIMMYTMA-028912","SA_4",-60.66666667,-17.41666667,324,"CUBAAM",FALSE,"Low",29858,265111,"CIMMYTMA-BANK-026361","BOZM0704","1977-11-30","","CIMMYTMA 28912",324,FALSE
"CIMMYTMA-029313","Mex_26",-98.27,20.87,429,"TEPECI",FALSE,"Low",30235,265488,"CIMMYTMA-BANK-026932","HIDA244","2007-06-05","","CIMMYTMA 29313",429,FALSE
"RIMMA0409","Mex_21",-92.9,15.43333333,107,"TEPECINTLE",FALSE,"Low",NA,NA,NA,NA,NA,NA,"CIMMYTMA-000743",NA,NA
"RIMMA0421","Mex_2",-97.98333333,19.85,2250,"CONICO",FALSE,"High",NA,NA,NA,NA,NA,NA,"CIMMYTMA-002276",NA,NA
"RIMMA0625","Mex_1",-97.38333333,19,2600,"CACAHUACINTLE",FALSE,"High",NA,NA,NA,NA,NA,NA,"CIMMYTMA-010234",NA,NA
"RIMMA0672","Mex_3",-99.13333333,19.68333333,2256,"CHALQUENO",FALSE,"High",NA,NA,NA,NA,NA,NA,"CIMMYTMA-001398",NA,NA
